timestep,vehicle_id,vehicle_type,charging_station,battery_soc_percent
920.0,evan_03,eVan,ebus_depot_n3,60.20720000000001
921.0,evan_03,eVan,ebus_depot_n3,60.32614285714286
922.0,evan_03,eVan,ebus_depot_n3,60.44511428571428
923.0,evan_03,eVan,ebus_depot_n3,60.56408571428572
924.0,evan_03,eVan,ebus_depot_n3,60.683057142857145
925.0,evan_03,eVan,ebus_depot_n3,60.802028571428565
926.0,evan_03,eVan,ebus_depot_n3,60.92099999999999
927.0,evan_03,eVan,ebus_depot_n3,61.03994285714286
928.0,evan_03,eVan,ebus_depot_n3,61.15891428571428
929.0,evan_03,eVan,ebus_depot_n3,61.27788571428571
930.0,evan_03,eVan,ebus_depot_n3,61.396857142857144
931.0,evan_03,eVan,ebus_depot_n3,61.51582857142858
932.0,evan_03,eVan,ebus_depot_n3,61.6348
933.0,evan_03,eVan,ebus_depot_n3,61.75374285714285
934.0,evan_03,eVan,ebus_depot_n3,61.872714285714295
935.0,evan_03,eVan,ebus_depot_n3,61.991685714285715
936.0,evan_03,eVan,ebus_depot_n3,62.11065714285714
937.0,evan_03,eVan,ebus_depot_n3,62.22962857142856
938.0,evan_03,eVan,ebus_depot_n3,62.3486
939.0,evan_03,eVan,ebus_depot_n3,62.46754285714285
940.0,evan_03,eVan,ebus_depot_n3,62.58651428571428
941.0,evan_03,eVan,ebus_depot_n3,62.705485714285714
942.0,evan_03,eVan,ebus_depot_n3,62.82445714285715
943.0,evan_03,eVan,ebus_depot_n3,62.94342857142857
944.0,evan_03,eVan,ebus_depot_n3,63.0624
945.0,evan_03,eVan,ebus_depot_n3,63.181342857142866
946.0,evan_03,eVan,ebus_depot_n3,63.300314285714286
947.0,evan_03,eVan,ebus_depot_n3,63.419285714285714
948.0,evan_03,eVan,ebus_depot_n3,63.53825714285715
949.0,evan_03,eVan,ebus_depot_n3,63.65722857142857
950.0,evan_03,eVan,ebus_depot_n3,63.776199999999996
951.0,evan_03,eVan,ebus_depot_n3,63.89514285714285
952.0,evan_03,eVan,ebus_depot_n3,64.01411428571429
953.0,evan_03,eVan,ebus_depot_n3,64.13308571428573
954.0,evan_03,eVan,ebus_depot_n3,64.25205714285714
955.0,evan_03,eVan,ebus_depot_n3,64.37102857142857
956.0,evan_03,eVan,ebus_depot_n3,64.49000000000001
957.0,evan_03,eVan,ebus_depot_n3,64.60894285714286
958.0,evan_03,eVan,ebus_depot_n3,64.72791428571428
959.0,evan_03,eVan,ebus_depot_n3,64.84688571428572
960.0,evan_03,eVan,ebus_depot_n3,64.96585714285715
961.0,evan_03,eVan,ebus_depot_n3,65.08482857142856
962.0,evan_03,eVan,ebus_depot_n3,65.20377142857143
963.0,evan_03,eVan,ebus_depot_n3,65.32274285714286
964.0,evan_03,eVan,ebus_depot_n3,65.44171428571428
965.0,evan_03,eVan,ebus_depot_n3,65.56068571428571
966.0,evan_03,eVan,ebus_depot_n3,65.67965714285715
967.0,evan_03,eVan,ebus_depot_n3,65.79862857142858
968.0,evan_03,eVan,ebus_depot_n3,65.91757142857143
969.0,evan_03,eVan,ebus_depot_n3,66.03654285714285
970.0,evan_03,eVan,ebus_depot_n3,66.15551428571429
971.0,evan_03,eVan,ebus_depot_n3,66.27448571428572
972.0,evan_03,eVan,ebus_depot_n3,66.39345714285713
973.0,evan_03,eVan,ebus_depot_n3,66.51242857142857
974.0,evan_03,eVan,ebus_depot_n3,66.63137142857143
975.0,evan_03,eVan,ebus_depot_n3,66.75034285714285
976.0,evan_03,eVan,ebus_depot_n3,66.86931428571428
977.0,evan_03,eVan,ebus_depot_n3,66.98828571428572
