timestep_sec,vehicle_id,current_edge,current_lane,current_speed_ms,current_soc_percent,battery_capacity_wh,priority,nearest_station_id,nearest_station_name,nearest_distance_m,nearest_edge,nearest_lane,nearest_power_kw,nearest_charging_available,nearest_waiting_available,nearest_occupancy_rate,2nd_nearest_station_id,2nd_nearest_station_name,2nd_nearest_distance_m,2nd_nearest_edge,2nd_nearest_lane,2nd_nearest_power_kw,2nd_nearest_charging_available,2nd_nearest_waiting_available,2nd_nearest_occupancy_rate,recommended_station,recommendation_reason
573.0,easyBike_019,E8,E8_0,12.54,23.11,12000.0,HIGH,pa_8,Station pa_8,75.96,E7,E7_0,25.0,4,3,20.0,pa_3,Station pa_3,399.14,E1,E1_0,20.0,0,0,100.0,Station pa_8,Nearest with charging slots
573.0,eRickshaw_028,E0,E0_0,13.46,29.0,7200.0,HIGH,pa_2_rev,Station pa_2_rev,104.39,NEG_E0,NEG_E0_0,20.0,3,3,25.0,pa_2,Station pa_2,286.5,E0,E0_0,20.0,0,1,100.0,Station pa_2_rev,Nearest with charging slots
573.0,eRickshaw_030,NEG_E9,NEG_E9_1,4.46,25.59,7200.0,HIGH,pa_8,Station pa_8,12.26,E7,E7_0,25.0,4,3,20.0,pa_3,Station pa_3,396.6,E1,E1_0,20.0,0,0,100.0,Station pa_8,Nearest with charging slots
574.0,eVan_031,NEG_E7,NEG_E7_0,10.92,28.48,5760.0,HIGH,pa_8,Station pa_8,111.17,E7,E7_0,25.0,4,3,20.0,pa_8_rev,Station pa_8_rev,364.62,NEG_E7,NEG_E7_0,25.0,0,0,100.0,Station pa_8,Nearest with charging slots
575.0,easyBike_013,NEG_E3,NEG_E3_0,12.08,28.54,12000.0,HIGH,pa_3,Station pa_3,231.1,E1,E1_0,20.0,0,0,100.0,pa_8,Station pa_8,279.86,E7,E7_0,25.0,4,3,20.0,Station pa_8,2nd nearest has slots (nearest full)
575.0,easyBike_021,NEG_E3,NEG_E3_0,12.77,27.18,12000.0,HIGH,pa_3,Station pa_3,222.58,E1,E1_0,20.0,0,0,100.0,pa_8,Station pa_8,289.11,E7,E7_0,25.0,4,3,20.0,Station pa_8,2nd nearest has slots (nearest full)
575.0,eRickshaw_029,NEG_E2,NEG_E2_0,6.94,29.13,7200.0,HIGH,pa_3,Station pa_3,99.96,E1,E1_0,20.0,0,0,100.0,pa_8,Station pa_8,436.58,E7,E7_0,25.0,4,3,20.0,Station pa_8,2nd nearest has slots (nearest full)
576.0,easyBike_014,NEG_E0,NEG_E0_0,12.13,26.54,12000.0,HIGH,pa_2,Station pa_2,71.79,E0,E0_0,20.0,0,1,100.0,pa_3_rev,Station pa_3_rev,91.2,NEG_E1,NEG_E1_0,20.0,0,0,100.0,Station pa_2,Nearest with waiting slots
576.0,easyBike_017,E3,E3_0,12.48,22.93,12000.0,HIGH,pa_8,Station pa_8,175.0,E7,E7_0,25.0,4,3,20.0,pa_3,Station pa_3,404.67,E1,E1_0,20.0,0,0,100.0,Station pa_8,Nearest with charging slots
576.0,easyBike_018,E1,parked,0.0,22.41,12000.0,HIGH,pa_3,Station pa_3,63.85,E1,E1_0,20.0,0,0,100.0,pa_3_rev,Station pa_3_rev,391.95,NEG_E1,NEG_E1_0,20.0,0,0,100.0,Station pa_3,Nearest (all busy)
