timestep_sec,station_id,station_edge,station_capacity,vehicles_charging,vehicle_ids,charging_times_sec,total_power_load_kW,utilization_percent,available_slots
514.0,pa_6_rev,NEG_E5,5,3,"easyBike_forward4.2,easyBike_reverse3.4,eRickshaw_reverse3.2","75.0,37.0,27.0",75.0,60.0,2
514.0,pa_7_rev,NEG_E6,4,2,"easyBike_reverse3.3,eRickshaw_reverse1.1","122.0,25.0",40.0,50.0,2
514.0,pa_8_rev,NEG_E7,5,5,"easyBike_forward2.2,eRickshaw_forward2.0,easyBike_forward1.3,easyBike_forward1.2,eRickshaw_forward1.0","187.0,162.0,146.0,79.0,22.0",125.0,100.0,0
515.0,pa_2,E0,4,1,easyBike_forward1.4,101.0,20.0,25.0,3
515.0,pa_3,E1,4,4,"easyBike_forward1.5,eRickshaw_reverse4.1,easyBike_forward2.5,easyBike_forward1.6","58.0,11.0,9.0,7.0",80.0,100.0,0
515.0,pa_6,E5,5,2,"eRickshaw_forward4.0,eRickshaw_reverse1.0","162.0,17.0",50.0,40.0,3
515.0,pa_7,E6,4,2,"easyBike_reverse2.3,easyBike_forward3.2","115.0,104.0",40.0,50.0,2
515.0,pa_8,E7,5,1,easyBike_forward4.1,118.0,25.0,20.0,4
515.0,pa_2_rev,NEG_E0,4,3,"easyBike_reverse4.1,easyBike_reverse2.2,eRickshaw_reverse1.3","217.0,203.0,5.0",60.0,75.0,1
515.0,pa_3_rev,NEG_E1,4,2,"easyBike_reverse2.1,eRickshaw_forward3.1","205.0,71.0",40.0,50.0,2
515.0,pa_6_rev,NEG_E5,5,3,"easyBike_forward4.2,easyBike_reverse3.4,eRickshaw_reverse3.2","76.0,38.0,28.0",75.0,60.0,2
515.0,pa_7_rev,NEG_E6,4,2,"easyBike_reverse3.3,eRickshaw_reverse1.1","123.0,26.0",40.0,50.0,2
515.0,pa_8_rev,NEG_E7,5,5,"easyBike_forward2.2,eRickshaw_forward2.0,easyBike_forward1.3,easyBike_forward1.2,eRickshaw_forward1.0","188.0,163.0,147.0,80.0,23.0",125.0,100.0,0
516.0,pa_2,E0,4,1,easyBike_forward1.4,102.0,20.0,25.0,3
516.0,pa_3,E1,4,4,"easyBike_forward1.5,eRickshaw_reverse4.1,easyBike_forward2.5,easyBike_forward1.6","59.0,12.0,10.0,8.0",80.0,100.0,0
516.0,pa_6,E5,5,2,"eRickshaw_forward4.0,eRickshaw_reverse1.0","163.0,18.0",50.0,40.0,3
516.0,pa_7,E6,4,2,"easyBike_reverse2.3,easyBike_forward3.2","116.0,105.0",40.0,50.0,2
516.0,pa_8,E7,5,1,easyBike_forward4.1,119.0,25.0,20.0,4
516.0,pa_2_rev,NEG_E0,4,3,"easyBike_reverse4.1,easyBike_reverse2.2,eRickshaw_reverse1.3","218.0,204.0,6.0",60.0,75.0,1
516.0,pa_3_rev,NEG_E1,4,2,"easyBike_reverse2.1,eRickshaw_forward3.1","206.0,72.0",40.0,50.0,2
